AQI_pm25,AQI_pm10,AQI_o3,AQI_co,AQI,AQI_no2,CityName
7.5,2.164502165,3.674540682,117.4589744,117.4589744,,nicosia
9.880952381,2.164502165,3.674540682,110.2974359,110.2974359,,nicosia
8.333333333,2.164502165,3.674540682,110.2974359,110.2974359,,nicosia
9.880952381,2.164502165,3.674540682,96.35641026,96.35641026,,nicosia
7.261904762,1.85528757,0.0,84.54615385,84.54615385,,nicosia
6.19047619,1.85528757,3.674540682,91.70769231,91.70769231,,nicosia
5.952380952,1.546072975,3.674540682,91.70769231,91.70769231,,nicosia
5.476190476,1.546072975,3.674540682,68.08717949,68.08717949,,nicosia
5.714285714,1.85528757,3.674540682,68.08717949,68.08717949,,nicosia
6.666666667,1.85528757,3.674540682,68.08717949,68.08717949,,nicosia
7.976190476,1.85528757,3.674540682,75.12307692,75.12307692,,nicosia
6.547619048,1.85528757,3.674540682,137.6881264606834,6.547619048,,nicosia
6.428571429,2.473716759,3.674540682,141.0794872,141.0794872,,nicosia
3.452380952,1.85528757,3.674540682,155.0205128,155.0205128,,nicosia
2.5,1.546072975,33.12710911,241.3615385,241.3615385,,nicosia
2.142857143,0.61842919,59.69681051,171.6051282,171.6051282,,nicosia
1.666666667,0.927643785,81.35609756,94.09487179,94.09487179,,nicosia
1.666666667,0.927643785,81.35609756,108.0358974,108.0358974,,nicosia
2.023809524,1.23685838,81.35609756,131.6564103,131.6564103,,nicosia
2.857142857,1.546072975,81.35609756,115.0717949,115.0717949,,nicosia
3.69047619,1.85528757,88.58198874,112.6846154,112.6846154,,nicosia
4.166666667,1.85528757,88.58198874,143.4666667,143.4666667,,nicosia
5.0,1.546072975,59.69681051,270.0461538,270.0461538,,nicosia
6.30952381,1.85528757,44.16947882,427.5435897,427.5435897,,nicosia
5.238095238,2.164502165,59.69681051,192.8384615,192.8384615,,nicosia
5.952380952,2.473716759,56.09305816,183.4153846,183.4153846,,nicosia
5.833333333,2.164502165,66.92270169,134.0435897,134.0435897,,nicosia
7.380952381,2.782931354,70.52645403,131.6564103,131.6564103,,nicosia
7.976190476,2.782931354,74.13020638,115.0717949,115.0717949,,nicosia
5.357142857,2.473716759,95.78949343,58.53846154,95.78949343,,nicosia
4.523809524,1.85528757,81.35609756,122.1076923,122.1076923,,nicosia
3.452380952,1.546072975,84.95984991,89.32051282,89.32051282,,nicosia
3.69047619,2.164502165,88.58198874,103.2615385,103.2615385,,nicosia
3.571428571,1.546072975,88.58198874,72.73589744,88.58198874,,nicosia
2.976190476,1.546072975,84.95984991,82.28461538,84.95984991,,nicosia
3.333333333,1.546072975,84.95984991,96.35641026,96.35641026,,nicosia
3.80952381,1.546072975,92.18574109,84.54615385,92.18574109,,nicosia
3.928571429,1.546072975,95.78949343,89.32051282,95.78949343,,nicosia
3.571428571,1.23685838,95.78949343,89.32051282,95.78949343,,nicosia
2.976190476,0.927643785,84.95984991,75.12307692,84.95984991,,nicosia
2.857142857,0.927643785,84.95984991,119.8461538,119.8461538,,nicosia
2.380952381,1.23685838,77.75234522,122.1076923,122.1076923,,nicosia
2.023809524,0.61842919,92.18574109,49.375,92.18574109,,nicosia
3.095238095,0.61842919,81.35609756,115.0717949,115.0717949,,nicosia
5.714285714,1.23685838,40.49493813,137.6881264606834,40.49493813,,nicosia
4.047619048,0.927643785,40.49493813,137.6881264606834,40.49493813,,nicosia
3.214285714,1.23685838,44.16947882,137.6881264606834,44.16947882,,nicosia
2.619047619,0.61842919,47.8440195,331.6153846,331.6153846,,nicosia
3.333333333,0.61842919,44.16947882,331.6153846,331.6153846,,nicosia
5.357142857,1.23685838,25.75928009,137.6881264606834,25.75928009,,nicosia
5.714285714,1.23685838,7.367829021,137.6881264606834,7.367829021,,nicosia
4.404761905,1.546072975,22.08473941,331.6153846,331.6153846,,nicosia
4.523809524,1.546072975,14.71691039,427.5435897,427.5435897,,nicosia
2.976190476,0.927643785,29.45256843,265.2230769,265.2230769,,nicosia
1.785714286,0.61842919,52.47091932,129.2692308,129.2692308,,nicosia
0.952380952,0.309214595,92.18574109,51.5025641,92.18574109,,nicosia
0.714285714,0.61842919,95.78949343,47.0,95.78949343,,nicosia
0.714285714,0.927643785,99.41163227,44.75,99.41163227,,nicosia
0.595238095,0.927643785,107.5982746,49.375,107.5982746,,nicosia
0.714285714,1.23685838,107.5982746,65.7,107.5982746,,nicosia
0.833333333,1.23685838,103.995874,70.34871795,103.995874,,nicosia
0.952380952,0.927643785,111.2190548,35.25,111.2190548,,nicosia
1.19047619,1.23685838,95.78949343,89.32051282,95.78949343,,nicosia
1.30952381,1.23685838,84.95984991,122.1076923,122.1076923,,nicosia
1.071428571,1.23685838,66.92270169,185.6769231,185.6769231,,nicosia
1.30952381,1.546072975,74.13020638,137.6881264606834,74.13020638,,nicosia
1.19047619,1.23685838,92.18574109,89.32051282,92.18574109,,nicosia
2.380952381,1.546072975,77.75234522,155.0205128,155.0205128,,nicosia
4.404761905,1.85528757,63.30056285,195.225641,195.225641,,nicosia
6.19047619,2.164502165,44.16947882,331.6153846,331.6153846,,nicosia
7.261904762,2.164502165,29.45256843,137.6881264606834,29.45256843,,nicosia
4.880952381,1.85528757,22.08473941,137.6881264606834,22.08473941,,nicosia
4.880952381,1.85528757,25.75928009,331.6153846,331.6153846,,nicosia
4.880952381,2.164502165,22.08473941,427.5435897,427.5435897,,nicosia
4.880952381,1.85528757,22.08473941,331.6153846,331.6153846,,nicosia
5.833333333,1.546072975,11.0423697,137.6881264606834,11.0423697,,nicosia
6.904761905,1.85528757,3.674540682,137.6881264606834,6.904761905,,nicosia
5.119047619,1.546072975,3.674540682,137.6881264606834,5.119047619,,nicosia
2.738095238,1.23685838,7.367829021,137.6881264606834,7.367829021,,nicosia
1.666666667,0.927643785,3.674540682,137.6881264606834,3.674540682,,nicosia
1.785714286,1.23685838,3.674540682,137.6881264606834,3.674540682,,nicosia
1.30952381,0.927643785,3.674540682,137.6881264606834,3.674540682,,nicosia
1.904761905,1.23685838,3.674540682,137.6881264606834,3.674540682,,nicosia
2.380952381,1.546072975,33.12710911,199.874359,199.874359,,nicosia
2.619047619,1.546072975,33.12710911,246.1846154,246.1846154,,nicosia
2.857142857,1.23685838,44.16947882,166.8307692,166.8307692,,nicosia
2.857142857,1.23685838,47.8440195,136.3051282,136.3051282,,nicosia
4.285714286,1.546072975,52.47091932,138.6923077,138.6923077,,nicosia
3.928571429,1.546072975,52.47091932,169.2179487,169.2179487,,nicosia
4.285714286,1.85528757,47.8440195,137.6881264606834,47.8440195,,nicosia
5.357142857,2.164502165,47.8440195,169.2179487,169.2179487,,nicosia
8.452380952,2.473716759,29.45256843,270.0461538,270.0461538,,nicosia
9.166666667,3.401360544,14.71691039,137.6881264606834,14.71691039,,nicosia
5.238095238,2.164502165,18.41019873,255.5769231,255.5769231,,nicosia
5.476190476,1.546072975,18.41019873,270.0461538,270.0461538,,nicosia
5.119047619,1.546072975,22.08473941,250.7538462,250.7538462,,nicosia
4.523809524,1.85528757,22.08473941,241.3615385,241.3615385,,nicosia
3.571428571,1.23685838,29.45256843,178.6410256,178.6410256,,nicosia
3.095238095,1.23685838,25.75928009,183.4153846,183.4153846,,nicosia
3.928571429,1.23685838,25.75928009,192.8384615,192.8384615,,nicosia
2.857142857,1.546072975,22.08473941,236.5384615,236.5384615,,nicosia
2.976190476,1.23685838,22.08473941,270.0461538,270.0461538,,nicosia
3.095238095,1.23685838,18.41019873,427.5435897,427.5435897,,nicosia
3.214285714,1.23685838,14.71691039,137.6881264606834,14.71691039,,nicosia
3.333333333,1.23685838,11.0423697,137.6881264606834,11.0423697,,nicosia
2.619047619,1.23685838,11.0423697,137.6881264606834,11.0423697,,nicosia
2.261904762,0.927643785,18.41019873,137.6881264606834,18.41019873,,nicosia
2.738095238,1.23685838,22.08473941,137.6881264606834,22.08473941,,nicosia
4.047619048,1.23685838,29.45256843,427.5435897,427.5435897,,nicosia
4.166666667,1.23685838,33.12710911,270.0461538,270.0461538,,nicosia
3.095238095,0.309214595,40.49493813,203.0307692,203.0307692,,nicosia
2.976190476,0.309214595,44.16947882,185.6769231,185.6769231,,nicosia
3.928571429,0.61842919,36.80164979,270.0461538,270.0461538,,nicosia
2.857142857,0.61842919,44.16947882,195.225641,195.225641,,nicosia
5.238095238,0.61842919,40.49493813,226.8923077,226.8923077,,nicosia
5.714285714,0.927643785,36.80164979,270.0461538,270.0461538,,nicosia
5.119047619,0.927643785,29.45256843,331.6153846,331.6153846,,nicosia
4.285714286,0.309214595,33.12710911,270.0461538,270.0461538,,nicosia
3.928571429,0.0,33.12710911,241.3615385,241.3615385,,nicosia
2.738095238,0.0,36.80164979,176.2538462,176.2538462,,nicosia
2.261904762,0.0,36.80164979,185.6769231,185.6769231,,nicosia
2.857142857,0.0,29.45256843,270.0461538,270.0461538,,nicosia
2.261904762,0.0,25.75928009,250.7538462,250.7538462,,nicosia
1.19047619,0.927643785,44.16947882,137.6881264606834,44.16947882,,nicosia
1.19047619,0.61842919,88.58198874,72.73589744,88.58198874,,nicosia
2.619047619,0.927643785,114.8214554,44.75,114.8214554,,nicosia
2.976190476,0.927643785,125.6470368,25.875,125.6470368,,nicosia
2.857142857,1.546072975,122.0446362,56.27692308,122.0446362,,nicosia
2.142857143,1.23685838,107.5982746,117.4589744,117.4589744,,nicosia
1.071428571,0.61842919,114.8214554,91.70769231,114.8214554,,nicosia
0.833333333,0.61842919,107.5982746,126.8820513,126.8820513,,nicosia
0.952380952,0.927643785,95.78949343,136.3051282,136.3051282,,nicosia
2.023809524,1.546072975,59.69681051,137.6881264606834,59.69681051,,nicosia
1.428571429,1.23685838,81.35609756,217.5,217.5,,nicosia
0.952380952,1.23685838,118.423856,40.0,118.423856,,nicosia
1.19047619,1.546072975,114.8214554,44.75,114.8214554,,nicosia
0.833333333,0.927643785,125.6470368,23.5,125.6470368,,nicosia
0.952380952,1.546072975,111.2190548,37.625,111.2190548,,nicosia
1.19047619,1.23685838,99.41163227,42.375,99.41163227,,nicosia
1.30952381,1.23685838,95.78949343,51.5025641,95.78949343,,nicosia
1.19047619,0.927643785,111.2190548,37.625,111.2190548,,nicosia
1.30952381,1.23685838,118.423856,30.625,118.423856,,nicosia
1.071428571,0.927643785,122.0446362,40.0,122.0446362,,nicosia
1.19047619,0.927643785,118.423856,40.0,118.423856,,nicosia
1.071428571,0.61842919,118.423856,40.0,118.423856,,nicosia
1.547619048,0.927643785,118.423856,37.625,118.423856,,nicosia
2.619047619,1.546072975,107.5982746,89.32051282,107.5982746,,nicosia
3.214285714,1.85528757,107.5982746,65.7,107.5982746,,nicosia
2.738095238,1.85528757,111.2190548,44.75,111.2190548,,nicosia
2.5,1.546072975,107.5982746,47.0,107.5982746,,nicosia
2.380952381,1.546072975,103.995874,56.27692308,103.995874,,nicosia
1.428571429,1.23685838,81.35609756,124.4948718,124.4948718,,nicosia
1.30952381,1.23685838,81.35609756,126.8820513,126.8820513,,nicosia
1.547619048,1.546072975,77.75234522,143.4666667,143.4666667,,nicosia
2.380952381,1.85528757,77.75234522,119.8461538,119.8461538,,nicosia
2.023809524,1.85528757,66.92270169,159.6692308,159.6692308,,nicosia
2.380952381,1.546072975,66.92270169,126.8820513,126.8820513,,nicosia
2.738095238,1.546072975,66.92270169,145.8538462,145.8538462,,nicosia
3.095238095,1.23685838,66.92270169,143.4666667,143.4666667,,nicosia
2.619047619,1.546072975,74.13020638,103.2615385,103.2615385,,nicosia
2.5,1.85528757,70.52645403,115.0717949,115.0717949,,nicosia
2.857142857,1.85528757,66.92270169,117.4589744,117.4589744,,nicosia
4.761904762,2.164502165,59.69681051,122.1076923,122.1076923,,nicosia
5.357142857,1.85528757,59.69681051,136.3051282,136.3051282,,nicosia
4.880952381,1.546072975,52.47091932,169.2179487,169.2179487,,nicosia
5.595238095,1.546072975,47.8440195,190.4512821,190.4512821,,nicosia
5.238095238,1.85528757,29.45256843,427.5435897,427.5435897,,nicosia
6.547619048,1.85528757,36.80164979,250.7538462,250.7538462,,nicosia
4.404761905,1.546072975,56.09305816,169.2179487,169.2179487,,nicosia
3.69047619,0.927643785,66.92270169,124.4948718,124.4948718,,nicosia
5.952380952,1.23685838,74.13020638,108.0358974,108.0358974,,nicosia
6.547619048,1.546072975,47.8440195,270.0461538,270.0461538,,nicosia
3.571428571,1.23685838,74.13020638,134.0435897,134.0435897,,nicosia
3.214285714,1.23685838,77.75234522,115.0717949,115.0717949,,nicosia
3.095238095,1.85528757,88.58198874,75.12307692,88.58198874,,nicosia
3.80952381,13.60544218,88.58198874,75.12307692,88.58198874,,nicosia
3.80952381,2.782931354,88.58198874,82.28461538,88.58198874,,nicosia
3.571428571,2.164502165,84.95984991,89.32051282,89.32051282,,nicosia
2.857142857,2.473716759,92.18574109,75.12307692,92.18574109,,nicosia
1.666666667,3.710575139,99.41163227,60.92564103,99.41163227,,nicosia
1.071428571,2.164502165,107.5982746,35.25,107.5982746,,nicosia
0.833333333,1.546072975,103.995874,30.625,103.995874,,nicosia
0.476190476,0.0,103.995874,30.625,103.995874,,nicosia
0.357142857,1.546072975,107.5982746,32.875,107.5982746,,nicosia
0.238095238,1.23685838,114.8214554,28.25,114.8214554,,nicosia
0.0,1.546072975,122.0446362,35.25,122.0446362,,nicosia
0.0,1.85528757,125.6470368,23.5,125.6470368,,nicosia
0.0,1.23685838,125.6470368,32.875,125.6470368,,nicosia
0.0,1.546072975,125.6470368,25.875,125.6470368,,nicosia
0.0,2.473716759,125.6470368,23.5,125.6470368,,nicosia
0.0,3.092145949,125.6470368,23.5,125.6470368,,nicosia
0.0,2.473716759,125.6470368,18.875,125.6470368,,nicosia
0.0,2.473716759,125.6470368,21.125,125.6470368,,nicosia
0.0,2.164502165,125.6470368,28.25,125.6470368,,nicosia
0.0,1.546072975,125.6470368,25.875,125.6470368,,nicosia
0.0,1.546072975,125.6470368,28.25,125.6470368,,nicosia
0.0,1.23685838,125.6470368,23.5,125.6470368,,nicosia
0.0,1.546072975,125.6470368,32.875,125.6470368,,nicosia
0.0,1.85528757,129.2494374,21.125,129.2494374,,nicosia
0.0,1.546072975,129.2494374,25.875,129.2494374,,nicosia
0.0,0.927643785,129.2494374,28.25,129.2494374,,nicosia
0.0,3.092145949,129.2494374,37.625,129.2494374,,nicosia
0.0,5.875077304,125.6470368,35.25,125.6470368,,nicosia
0.0,4.329004329,129.2494374,21.125,129.2494374,,nicosia
0.0,1.546072975,129.2494374,18.875,129.2494374,,nicosia
0.0,2.164502165,132.851838,14.125,132.851838,,nicosia
0.0,1.85528757,132.851838,16.5,132.851838,,nicosia
0.0,1.546072975,129.2494374,30.625,129.2494374,,nicosia
0.0,1.546072975,129.2494374,30.625,129.2494374,,nicosia
0.0,1.85528757,129.2494374,49.375,129.2494374,,nicosia
0.0,1.546072975,129.2494374,35.25,129.2494374,,nicosia
0.0,1.23685838,129.2494374,25.875,129.2494374,,nicosia
0.0,1.85528757,132.851838,21.125,132.851838,,nicosia
0.0,1.546072975,132.851838,23.5,132.851838,,nicosia
0.0,0.61842919,129.2494374,25.875,129.2494374,,nicosia
0.0,1.23685838,129.2494374,23.5,129.2494374,,nicosia
0.0,1.23685838,129.2494374,21.125,129.2494374,,nicosia
0.0,1.23685838,125.6470368,51.5025641,125.6470368,,nicosia
0.0,0.61842919,125.6470368,35.25,125.6470368,,nicosia
0.0,0.927643785,125.6470368,32.875,125.6470368,,nicosia
0.0,1.85528757,122.0446362,47.0,122.0446362,,nicosia
0.0,1.546072975,122.0446362,42.375,122.0446362,,nicosia
0.0,1.23685838,118.423856,51.5025641,118.423856,,nicosia
0.0,0.927643785,122.0446362,40.0,122.0446362,,nicosia
0.0,1.23685838,122.0446362,47.0,122.0446362,,nicosia
0.0,3.092145949,118.423856,51.5025641,118.423856,,nicosia
0.0,2.782931354,125.6470368,40.0,125.6470368,,nicosia
0.0,3.092145949,125.6470368,42.375,125.6470368,,nicosia
0.0,4.329004329,125.6470368,28.25,125.6470368,,nicosia
0.0,4.329004329,129.2494374,23.5,129.2494374,,nicosia
0.0,2.164502165,129.2494374,21.125,129.2494374,,nicosia
1.071428571,2.164502165,129.2494374,11.75,129.2494374,,nicosia
1.785714286,2.164502165,122.0446362,28.25,122.0446362,,nicosia
3.095238095,2.164502165,122.0446362,25.875,122.0446362,,nicosia
3.214285714,2.164502165,118.423856,28.25,118.423856,,nicosia
3.571428571,2.164502165,114.8214554,37.625,114.8214554,,nicosia
3.571428571,2.164502165,114.8214554,30.625,114.8214554,,nicosia
4.166666667,2.164502165,114.8214554,42.375,114.8214554,,nicosia
7.738095238,2.164502165,111.2190548,44.75,111.2190548,,nicosia
7.261904762,2.164502165,111.2190548,42.375,111.2190548,,nicosia
7.261904762,2.164502165,107.5982746,49.375,107.5982746,,nicosia
7.142857143,2.164502165,107.5982746,58.53846154,107.5982746,,nicosia
6.785714286,2.164502165,103.995874,82.28461538,103.995874,,nicosia
6.785714286,2.164502165,107.5982746,58.53846154,107.5982746,,nicosia
6.30952381,2.164502165,107.5982746,56.27692308,107.5982746,,nicosia
5.833333333,2.164502165,107.5982746,51.5025641,107.5982746,,nicosia
5.476190476,2.164502165,107.5982746,51.5025641,107.5982746,,nicosia
5.714285714,2.164502165,111.2190548,47.0,111.2190548,,nicosia
5.952380952,2.164502165,111.2190548,49.375,111.2190548,,nicosia
5.833333333,2.164502165,111.2190548,56.27692308,111.2190548,,nicosia
5.595238095,2.164502165,107.5982746,56.27692308,107.5982746,,nicosia
4.404761905,2.164502165,107.5982746,63.31282051,107.5982746,,nicosia
3.928571429,2.164502165,107.5982746,77.51025641,107.5982746,,nicosia
3.928571429,2.164502165,103.995874,77.51025641,103.995874,,nicosia
3.928571429,2.164502165,107.5982746,49.375,107.5982746,,nicosia
4.166666667,2.164502165,103.995874,51.5025641,103.995874,,nicosia
4.047619048,2.164502165,103.995874,58.53846154,103.995874,,nicosia
3.571428571,2.164502165,103.995874,56.27692308,103.995874,,nicosia
3.69047619,2.164502165,103.995874,58.53846154,103.995874,,nicosia
3.80952381,2.164502165,103.995874,44.75,103.995874,,nicosia
3.80952381,2.164502165,99.41163227,68.08717949,99.41163227,,nicosia
3.69047619,2.164502165,103.995874,47.0,103.995874,,nicosia
3.333333333,2.164502165,103.995874,47.0,103.995874,,nicosia
3.452380952,2.164502165,99.41163227,63.31282051,99.41163227,,nicosia
3.452380952,2.164502165,95.78949343,65.7,95.78949343,,nicosia
3.69047619,2.164502165,95.78949343,89.32051282,95.78949343,,nicosia
4.047619048,2.164502165,92.18574109,94.09487179,94.09487179,,nicosia
4.642857143,2.164502165,95.78949343,89.32051282,95.78949343,,nicosia
5.0,10.20408163,95.78949343,91.70769231,95.78949343,,nicosia
5.119047619,5.256648114,95.78949343,94.09487179,95.78949343,,nicosia
4.761904762,3.401360544,99.41163227,84.54615385,99.41163227,,nicosia
3.80952381,2.473716759,103.995874,70.34871795,103.995874,,nicosia
3.80952381,2.473716759,103.995874,79.8974359,103.995874,,nicosia
4.285714286,1.85528757,103.995874,86.93333333,103.995874,,nicosia
4.642857143,1.85528757,103.995874,84.54615385,103.995874,,nicosia
4.642857143,2.473716759,99.41163227,96.35641026,99.41163227,,nicosia
4.642857143,1.85528757,99.41163227,77.51025641,99.41163227,,nicosia
4.404761905,1.85528757,99.41163227,84.54615385,99.41163227,,nicosia
4.285714286,1.85528757,95.78949343,79.8974359,95.78949343,,nicosia
4.166666667,1.546072975,95.78949343,77.51025641,95.78949343,,nicosia
4.047619048,1.85528757,92.18574109,96.35641026,96.35641026,,nicosia
3.928571429,1.546072975,92.18574109,98.74358974,98.74358974,,nicosia
3.571428571,1.23685838,92.18574109,77.51025641,92.18574109,,nicosia
4.404761905,1.23685838,92.18574109,75.12307692,92.18574109,,nicosia
4.880952381,1.85528757,88.58198874,79.8974359,88.58198874,,nicosia
4.642857143,1.23685838,88.58198874,79.8974359,88.58198874,,nicosia
4.523809524,1.23685838,84.95984991,86.93333333,86.93333333,,nicosia
4.166666667,1.23685838,88.58198874,84.54615385,88.58198874,,nicosia
4.523809524,1.23685838,81.35609756,112.6846154,112.6846154,,nicosia
4.285714286,1.23685838,81.35609756,105.6487179,105.6487179,,nicosia
4.047619048,1.546072975,77.75234522,138.6923077,138.6923077,,nicosia
4.166666667,1.546072975,77.75234522,136.3051282,136.3051282,,nicosia
4.166666667,1.85528757,77.75234522,134.0435897,134.0435897,,nicosia
4.166666667,1.85528757,84.95984991,94.09487179,94.09487179,,nicosia
4.166666667,1.85528757,81.35609756,126.8820513,126.8820513,,nicosia
3.80952381,1.546072975,84.95984991,137.6881264606834,84.95984991,,nicosia
3.80952381,1.546072975,84.95984991,117.4589744,117.4589744,,nicosia
4.166666667,1.85528757,81.35609756,134.0435897,134.0435897,,nicosia
4.166666667,1.546072975,84.95984991,117.4589744,117.4589744,,nicosia
5.595238095,1.546072975,81.35609756,129.2692308,129.2692308,,nicosia
6.19047619,1.85528757,81.35609756,117.4589744,117.4589744,,nicosia
6.428571429,1.85528757,81.35609756,119.8461538,119.8461538,,nicosia
6.19047619,1.546072975,81.35609756,112.6846154,112.6846154,,nicosia
5.595238095,1.546072975,81.35609756,108.0358974,108.0358974,,nicosia
5.119047619,2.164502165,84.95984991,110.2974359,110.2974359,,nicosia
5.119047619,2.473716759,84.95984991,110.2974359,110.2974359,,nicosia
5.238095238,4.019789734,88.58198874,94.09487179,94.09487179,,nicosia
5.476190476,3.401360544,88.58198874,124.4948718,124.4948718,,nicosia
5.714285714,4.329004329,92.18574109,75.12307692,92.18574109,,nicosia
5.119047619,3.092145949,95.78949343,68.08717949,95.78949343,,nicosia
5.0,4.019789734,92.18574109,86.93333333,92.18574109,,nicosia
4.404761905,4.019789734,95.78949343,70.34871795,95.78949343,,nicosia
3.69047619,3.710575139,99.41163227,68.08717949,99.41163227,,nicosia
3.214285714,4.329004329,99.41163227,75.12307692,99.41163227,,nicosia
3.095238095,2.164502165,92.18574109,98.74358974,98.74358974,,nicosia
3.095238095,4.019789734,92.18574109,94.09487179,94.09487179,,nicosia
3.214285714,2.164502165,95.78949343,82.28461538,95.78949343,,nicosia
3.095238095,2.782931354,95.78949343,75.12307692,95.78949343,,nicosia
3.571428571,2.164502165,95.78949343,75.12307692,95.78949343,,nicosia
